#NCP15XH103D03RC, NTC MPN
-20.0,2.7523796844837913
-19.0,2.7410696884483667
-18.0,2.729371880865428
-17.0,2.717277964401344
-16.0,2.704780648847692
-15.0,2.6918795348374913
-14.0,2.6785621705694287
-13.0,2.6648286301221753
-12.0,2.6506779852007663
-11.0,2.636100404985033
-10.0,2.6210963759701764
-9.0,2.605656497127229
-8.0,2.589784305941511
-7.0,2.57347275729224
-6.0,2.5567312504468434
-5.0,2.539558372116051
-4.0,2.5219369265170792
-3.0,2.503880931423542
-2.0,2.4854060035966246
-1.0,2.4664983937586045
0.0,2.447168970129291
1.0,2.4273927900748085
2.0,2.407209102208624
3.0,2.3866244558765333
4.0,2.3656423723611066
5.0,2.3442622950819674
6.0,2.3224784176592723
7.0,2.3003310261811616
8.0,2.277810133954572
9.0,2.254927095016824
10.0,2.2317224287484514
11.0,2.2081736909323118
12.0,2.1842820805192527
13.0,2.1601192088864805
14.0,2.135647567266137
15.0,2.1108986615678775
16.0,2.0859052486730882
17.0,2.0606535023483663
18.0,2.0351696234049177
19.0,2.00947917776121
20.0,1.9835510137165966
21.0,1.9575159735455667
22.0,1.9312801654792002
23.0,1.9049161024433325
24.0,1.8784370477568744
25.0,1.851851851851852
26.0,1.8251864858548665
27.0,1.7984496124031004
28.0,1.7716691431401683
29.0,1.7448545785815508
30.0,1.7180282447325435
31.0,1.691219206709964
32.0,1.6644263495756322
33.0,1.6376820086133654
34.0,1.610997020364576
35.0,1.584388699464199
36.0,1.5578824131434286
37.0,1.5314784695794974
38.0,1.5052076636235052
39.0,1.4790625792154908
40.0,1.4530809471136652
41.0,1.427274110902542
42.0,1.4016499097705595
43.0,1.3762265600446975
44.0,1.3510053547998155
45.0,1.3259983259983261
46.0,1.3012302381017617
47.0,1.2767086989150678
48.0,1.2524217113113414
49.0,1.2284027050195256
50.0,1.2046505342612523
51.0,1.1811959125800615
52.0,1.1579963754122227
53.0,1.1351139986765326
54.0,1.112518265952265
55.0,1.090211822204881
56.0,1.0682349275588097
57.0,1.0465467988573351
58.0,1.0252051769352457
59.0,1.0041633581561045
60.0,0.9834338002515286
61.0,0.9630501681031178
62.0,0.9429784786888146
63.0,0.9232495561783325
64.0,0.9038238310436928
65.0,0.8847531643410323
66.0,0.8659935750344193
67.0,0.8475709954405535
68.0,0.8294863117604501
69.0,0.8117132167815713
70.0,0.7942746009534425
71.0,0.7771669634427621
72.0,0.7603583426651737
73.0,0.7438957825406645
74.0,0.7277447255579852
75.0,0.7118956821257227
76.0,0.6963662034628817
77.0,0.6811738745589866
78.0,0.6662484316185696
79.0,0.6516337558709155
80.0,0.6373451889488727
81.0,0.6233372944378426
82.0,0.6096231943659076
83.0,0.5961849128293938
84.0,0.5830344612505847
85.0,0.5701838038380644
